N,P,K,temperature,humidity,ph,rainfall,label
74,39,23,22.63,65.77,6.78,88.17,maize
81,49,20,18.04,60.61,5.51,104.23,maize
63,42,21,23.26,72.33,5.8,67.1,maize
99,38,21,22.88,71.6,6.35,67.73,maize
90,52,25,25.97,69.36,6.82,103.22,maize
68,40,19,26.14,66.21,6.66,107.24,maize
60,57,24,18.66,61.55,6.12,75.03,maize
71,52,18,25.11,55.98,5.79,78.16,maize
61,59,17,23.34,59.25,6.47,105.01,maize
88,38,15,25.08,65.92,6.46,62.49,maize
65,60,22,25.37,72.52,6.61,107.91,maize
78,37,22,25.34,63.32,6.33,74.52,maize
78,58,15,25.01,67.82,6.53,62.91,maize
92,60,23,18.67,71.52,5.72,69.93,maize
79,59,17,20.38,63.74,6.64,108.51,maize
91,55,15,18.09,72.61,6.38,78.96,maize
76,51,18,26.17,71.96,6.25,79.85,maize
87,48,25,18.65,61.38,6.66,93.62,maize
71,60,22,26.07,59.37,6.2,85.76,maize
90,57,24,18.93,72.8,6.16,82.34,maize
67,35,22,23.31,63.25,6.39,108.76,maize
60,54,19,18.75,62.5,6.42,70.23,maize
83,58,23,19.74,59.66,6.38,65.51,maize
83,57,19,25.73,70.75,6.88,98.74,maize
40,72,77,17.02,16.99,7.49,88.55,chickpea
23,72,84,19.02,17.13,6.92,79.93,chickpea
39,58,85,17.89,15.41,6.0,68.55,chickpea
22,72,85,18.87,15.66,6.39,88.51,chickpea
36,67,77,18.37,19.56,7.15,79.26,chickpea
32,73,81,20.45,15.4,5.99,92.68,chickpea
58,70,84,20.65,16.61,6.23,74.66,chickpea
59,70,84,17.33,18.75,7.55,82.62,chickpea
42,62,75,18.18,18.9,7.01,81.85,chickpea
28,74,81,18.01,18.31,8.75,81.99,chickpea
58,66,79,20.99,19.33,8.72,93.55,chickpea
43,66,79,19.46,15.23,7.98,74.59,chickpea
58,63,81,19.81,14.7,6.52,78.97,chickpea
23,62,85,18.97,19.52,8.49,80.71,chickpea
27,62,77,18.2,14.71,6.58,70.18,chickpea
28,72,84,18.73,19.18,6.48,71.58,chickpea
50,56,76,21.0,19.86,7.97,73.51,chickpea
39,71,84,20.28,16.4,8.14,82.52,chickpea
25,78,76,17.48,15.76,7.23,66.97,chickpea
31,70,77,20.89,14.32,6.49,90.46,chickpea
26,80,83,17.08,16.15,7.53,71.31,chickpea
25,68,77,20.09,15.11,7.7,85.75,chickpea
31,78,76,17.57,15.0,8.52,89.31,chickpea
60,68,83,19.12,18.43,6.62,85.53,chickpea
59,62,83,18.58,19.22,8.1,72.95,chickpea
22,67,78,17.17,14.42,6.2,72.33,chickpea
36,65,80,18.29,16.68,6.05,74.87,chickpea
59,60,84,19.03,18.67,7.69,94.71,chickpea
54,77,85,17.14,17.07,7.83,83.75,chickpea
43,68,81,17.48,17.93,6.76,78.92,chickpea
28,76,82,20.57,14.26,6.65,83.76,chickpea
42,79,85,17.22,15.82,6.13,76.58,chickpea
32,60,83,19.69,19.44,8.83,91.76,chickpea
22,78,76,17.85,19.09,8.62,76.32,chickpea
31,79,75,18.82,16.11,8.2,89.73,chickpea
28,58,81,17.48,16.54,6.18,93.35,chickpea
57,58,77,18.73,17.58,7.98,81.2,chickpea
49,55,78,18.66,16.18,7.86,81.71,chickpea
46,76,77,18.24,19.69,6.97,83.75,chickpea
54,61,77,18.81,15.22,6.21,77.54,chickpea
38,60,76,18.65,17.81,8.87,77.93,chickpea
59,55,79,20.37,16.9,8.77,82.25,chickpea
36,76,75,18.38,16.64,8.74,70.52,chickpea
57,68,81,17.17,17.3,8.08,72.79,chickpea
35,66,81,19.37,15.77,6.14,85.25,chickpea
35,64,78,17.93,14.27,7.5,85.37,chickpea
52,60,79,19.45,18.23,8.38,75.63,chickpea
27,76,83,19.13,14.92,6.29,89.62,chickpea
57,60,84,19.1,17.26,6.59,75.49,chickpea
52,68,78,17.49,16.96,6.9,86.05,chickpea
43,79,79,19.41,18.98,7.81,80.25,chickpea
44,74,85,20.19,19.64,7.15,78.26,chickpea
24,55,78,17.3,15.15,6.65,75.58,chickpea
29,77,75,17.5,15.48,7.78,72.94,chickpea
20,60,78,18.17,14.7,6.36,90.78,chickpea
56,67,78,17.57,16.72,8.26,77.82,chickpea
37,66,85,20.93,18.91,6.46,78.07,chickpea
49,71,76,19.71,17.64,6.61,85.58,chickpea
59,69,80,19.08,17.87,8.17,69.41,chickpea
20,79,77,18.55,16.03,7.65,76.33,chickpea
24,56,85,18.2,17.41,6.55,80.64,chickpea
51,72,75,18.89,14.99,7.1,80.11,chickpea
57,73,85,18.49,14.72,7.36,91.95,chickpea
22,64,82,19.49,17.17,6.47,87.51,chickpea
52,73,79,17.26,18.75,7.84,94.0,chickpea
29,75,75,19.62,18.71,7.06,88.46,chickpea
44,59,78,20.68,19.85,7.6,84.78,chickpea
41,69,82,20.02,16.63,6.72,68.98,chickpea
52,56,85,20.12,14.44,6.82,88.68,chickpea
34,76,80,20.66,15.85,7.99,65.24,chickpea
42,74,83,19.26,14.28,7.55,65.78,chickpea
34,71,79,17.93,15.86,7.73,74.64,chickpea
27,73,79,19.16,15.84,7.35,82.7,chickpea
30,70,79,20.27,19.97,7.31,69.64,chickpea
57,57,75,17.09,18.25,7.79,87.27,chickpea
27,79,82,17.07,17.54,6.31,70.87,chickpea
32,71,85,20.63,14.44,6.4,92.07,chickpea
31,76,82,20.82,17.85,7.6,79.21,chickpea
33,75,84,19.46,18.73,7.22,68.81,chickpea
47,80,77,17.18,16.43,7.56,72.85,chickpea
54,62,80,17.49,16.39,7.49,79.46,chickpea
47,79,78,17.48,14.76,6.61,65.11,chickpea
35,57,83,19.48,17.45,7.48,80.5,chickpea
53,73,77,19.71,18.1,7.33,73.64,chickpea
45,61,78,19.49,16.06,6.49,81.53,chickpea
37,78,79,19.95,14.83,7.79,88.68,chickpea
30,75,81,19.42,16.8,6.41,68.5,chickpea
37,55,82,19.46,18.02,8.42,78.45,chickpea
53,65,76,20.19,16.42,8.72,77.34,chickpea
22,60,85,18.84,14.74,7.81,94.78,chickpea
60,61,78,20.71,19.84,6.32,94.04,chickpea
42,67,77,18.99,15.94,7.11,78.7,chickpea
39,76,76,19.97,15.57,8.14,69.16,chickpea
35,63,76,17.82,17.61,7.71,90.82,chickpea
30,65,82,20.71,15.28,7.1,76.78,chickpea
57,56,78,17.34,18.76,8.86,67.95,chickpea
48,65,78,17.44,14.34,7.86,73.09,chickpea
36,56,83,18.9,19.76,7.45,69.1,chickpea
40,58,75,18.59,14.78,7.17,89.61,chickpea
49,69,82,18.32,15.36,7.26,81.79,chickpea
32,76,15,28.05,63.5,7.6,43.36,lentil
13,61,22,19.44,63.28,7.73,46.83,lentil
38,60,20,29.85,60.64,7.49,46.8,lentil
11,74,17,21.36,69.92,6.63,46.64,lentil
37,71,16,26.29,68.52,7.32,46.14,lentil
29,71,18,22.17,62.14,6.41,53.47,lentil
2,72,18,26.58,60.98,7.84,50.89,lentil
6,59,21,26.59,66.14,6.14,50.91,lentil
13,64,20,19.13,62.58,6.59,36.47,lentil
8,58,17,28.75,69.16,7.29,35.15,lentil
6,77,20,25.79,60.28,6.06,49.14,lentil
2,75,22,23.89,61.79,6.66,52.56,lentil
3,69,23,28.67,63.19,7.3,42.96,lentil
27,80,24,28.42,61.77,7.82,49.02,lentil
39,78,15,21.35,62.6,5.93,41.78,lentil
40,79,17,21.13,63.19,6.4,38.72,lentil
37,62,22,24.02,61.62,7.4,49.78,lentil
31,60,24,25.4,65.86,7.72,51.92,lentil
22,67,22,29.03,64.49,7.48,54.94,lentil
3,78,18,20.21,68.65,6.89,50.9,lentil
4,80,16,29.2,68.02,7.44,44.93,lentil
13,61,24,18.3,69.69,7.63,49.39,lentil
12,66,20,27.41,63.42,7.34,44.43,lentil
4,61,21,24.84,60.09,6.75,48.78,lentil
9,60,21,29.94,67.31,7.52,40.37,lentil
18,66,22,25.88,67.55,6.35,47.9,lentil
32,56,18,20.05,65.84,7.14,46.05,lentil
6,72,15,22.99,66.71,7.67,54.49,lentil
15,77,20,25.13,66.93,7.4,49.04,lentil
0,65,24,28.5,62.45,7.84,53.15,lentil
30,79,22,18.29,69.49,6.25,48.6,lentil
3,63,16,24.38,61.18,6.87,53.14,lentil
2,78,23,21.32,66.44,7.32,45.43,lentil
10,78,18,18.54,62.71,6.3,44.08,lentil
14,67,25,25.29,60.86,7.24,49.37,lentil
39,65,23,25.43,69.13,7.69,41.03,lentil
19,72,15,28.84,69.76,6.89,44.09,lentil
18,57,21,27.38,63.94,6.16,49.47,lentil
31,58,15,28.32,60.19,6.17,45.37,lentil
28,58,25,27.48,62.05,6.86,37.81,lentil
5,65,19,18.28,68.1,6.98,48.8,lentil
16,65,19,27.61,69.3,7.04,42.72,lentil
34,65,19,23.44,63.22,5.94,45.4,lentil
14,69,19,20.96,63.68,7.24,52.4,lentil
22,55,16,23.79,68.03,6.52,49.74,lentil
24,61,17,22.64,65.45,6.23,38.3,lentil
2,79,15,21.54,65.47,7.51,35.75,lentil
26,63,17,29.88,65.73,6.95,44.96,lentil
27,61,15,25.27,67.1,6.96,48.34,lentil
24,70,16,25.18,68.93,6.55,35.03,lentil
13,74,25,24.12,61.1,6.46,44.24,lentil
6,64,23,23.34,67.4,7.07,36.19,lentil
12,58,23,21.75,63.4,6.77,50.43,lentil
32,79,22,27.6,63.46,5.92,54.38,lentil
6,68,18,24.39,62.5,6.71,47.26,lentil
10,79,20,24.98,66.9,6.38,38.21,lentil
38,77,22,28.23,69.32,6.31,35.37,lentil
17,74,17,26.03,69.56,7.39,37.11,lentil
26,68,24,28.05,64.08,7.5,37.16,lentil
23,75,17,24.87,64.0,7.2,48.28,lentil
32,78,22,23.97,62.36,7.01,53.41,lentil
19,79,19,20.06,67.76,6.68,42.9,lentil
22,60,18,19.59,61.29,6.74,41.77,lentil
28,69,16,29.77,66.29,6.55,35.7,lentil
1,67,21,27.52,60.54,6.55,48.06,lentil
12,67,23,25.63,63.15,6.59,45.5,lentil
36,67,20,20.39,60.48,6.92,53.32,lentil
28,70,21,25.39,60.5,7.44,39.18,lentil
12,71,19,24.91,60.71,7.14,42.2,lentil
22,68,16,27.7,63.21,7.75,37.46,lentil
26,66,22,18.06,65.1,6.3,51.55,lentil
16,65,16,18.13,62.46,6.08,50.61,lentil
14,59,22,23.83,67.9,6.77,46.91,lentil
33,59,19,23.19,62.75,7.64,49.55,lentil
21,63,17,25.09,68.18,6.56,41.45,lentil
0,69,21,25.87,61.88,7.07,36.68,lentil
10,75,17,18.44,68.05,7.73,39.01,lentil
30,61,18,27.15,67.03,6.16,52.51,lentil
0,74,17,23.33,64.51,7.24,47.02,lentil
35,74,22,26.72,62.97,6.9,42.87,lentil
7,63,24,19.56,64.45,6.82,53.05,lentil
9,56,17,26.14,66.77,6.26,46.48,lentil
14,74,15,28.0,65.58,6.49,49.94,lentil
14,76,20,29.06,62.11,7.04,36.5,lentil
36,65,16,25.71,64.11,7.69,50.17,lentil
28,67,21,21.8,63.73,6.25,46.62,lentil
28,79,16,24.71,60.27,6.05,53.12,lentil
40,61,22,20.95,65.81,7.0,44.24,lentil
10,70,19,24.85,68.98,7.27,41.61,lentil
12,80,19,21.91,65.22,5.96,36.1,lentil
37,77,20,25.93,68.71,7.08,51.02,lentil
0,67,22,29.82,69.41,6.59,51.56,lentil
7,73,25,27.52,63.13,7.29,45.21,lentil
10,56,18,28.0,68.64,7.33,46.11,lentil
39,70,15,20.77,63.9,6.37,47.93,lentil
26,56,22,23.05,60.42,7.01,52.6,lentil
9,77,17,21.66,63.58,6.28,38.08,lentil
4,59,19,26.25,67.63,7.62,40.81,lentil
34,73,15,20.97,63.83,7.63,53.1,lentil
33,77,15,23.9,66.32,7.8,40.75,lentil
91,94,46,29.37,76.25,6.15,92.83,banana
105,95,50,27.33,83.68,5.85,101.05,banana
108,92,53,27.4,82.96,6.28,104.94,banana
86,76,54,29.32,80.12,5.93,90.11,banana
80,77,49,26.05,79.4,5.52,113.23,banana
93,94,53,25.87,84.42,6.08,114.54,banana
90,92,55,27.01,80.19,6.13,97.33,banana
108,89,53,29.55,78.07,5.81,99.34,banana
108,88,55,26.29,83.39,5.89,113.87,banana
105,77,52,29.16,76.16,5.82,100.01,banana
118,88,52,28.65,82.69,5.84,98.75,banana
101,87,54,29.07,76.5,6.38,100.17,banana
95,75,50,28.08,75.26,5.62,118.28,banana
106,85,53,27.2,78.81,5.92,99.72,banana
86,95,49,28.05,78.05,6.46,108.4,banana
83,79,55,25.15,83.35,5.57,98.67,banana
85,95,47,25.94,78.34,6.21,119.85,banana
109,79,45,27.67,79.69,6.49,108.66,banana
100,76,45,25.57,75.94,5.59,102.79,banana
117,86,48,28.7,82.54,6.23,116.16,banana
114,94,53,26.34,76.85,6.19,118.69,banana
110,78,50,25.94,78.9,5.92,98.22,banana
94,70,48,25.14,84.88,6.2,91.46,banana
80,71,47,27.51,80.8,6.16,105.08,banana
114,79,51,26.21,82.34,6.31,112.07,banana
88,78,45,29.1,79.2,6.32,92.08,banana
112,73,48,29.24,77.32,5.71,90.67,banana
117,76,47,25.56,77.38,6.12,93.1,banana
111,87,48,26.4,81.36,5.57,98.17,banana
89,83,47,28.1,77.8,5.63,109.54,banana
93,91,47,27.85,83.31,6.1,117.29,banana
92,81,52,27.39,81.47,6.44,94.31,banana
105,74,45,25.15,81.38,6.1,119.22,banana
102,71,48,28.65,79.29,5.7,102.46,banana
94,91,51,29.16,76.67,5.62,109.58,banana
116,71,47,27.57,82.06,6.44,91.34,banana
117,79,49,25.41,82.36,6.18,112.98,banana
119,72,55,25.99,83.34,6.22,112.08,banana
99,73,53,26.29,81.06,5.87,118.67,banana
91,84,52,29.15,78.71,6.39,117.54,banana
80,90,47,26.6,79.36,6.21,107.39,banana
101,70,48,25.36,75.03,6.01,116.55,banana
108,89,53,29.12,80.18,5.91,112.4,banana
100,80,52,27.54,77.26,6.05,110.33,banana
109,91,53,29.67,83.51,6.01,110.25,banana
82,78,46,25.06,84.97,5.74,110.44,banana
106,70,55,25.87,78.52,5.74,116.3,banana
90,86,52,25.85,81.96,5.79,119.09,banana
83,95,50,26.52,77.8,5.51,108.85,banana
119,90,48,28.67,79.59,5.99,118.26,banana
107,72,45,28.15,81.54,5.79,91.41,banana
116,81,55,26.42,83.7,5.92,95.12,banana
101,75,50,26.59,81.41,6.24,109.98,banana
93,81,50,27.72,76.58,6.04,102.21,banana
95,75,45,28.98,82.96,5.83,109.02,banana
107,71,55,29.42,83.97,6.09,117.23,banana
83,94,47,27.4,81.11,6.47,112.14,banana
102,73,54,26.4,84.41,5.72,111.02,banana
86,79,45,27.81,82.69,5.81,99.21,banana
117,86,53,25.2,83.56,5.7,115.86,banana
111,79,53,28.31,75.77,6.17,119.7,banana
95,74,50,25.9,80.47,6.0,110.1,banana
91,75,55,27.49,76.11,6.21,109.28,banana
93,83,46,29.38,83.5,5.77,109.25,banana
92,85,51,29.22,81.08,5.74,108.86,banana
104,80,54,27.09,81.34,5.88,110.13,banana
103,72,51,26.13,81.81,6.1,104.48,banana
92,75,45,29.01,77.95,5.67,90.43,banana
93,85,49,27.97,79.29,5.69,119.48,banana
120,87,52,28.08,76.06,5.91,118.99,banana
108,72,46,25.16,84.98,6.11,90.95,banana
105,88,54,25.79,84.51,6.02,114.2,banana
98,79,50,25.34,84.47,6.44,91.06,banana
111,88,55,29.45,78.35,5.51,96.45,banana
97,74,45,26.48,78.52,5.68,113.12,banana
95,82,48,27.39,83.31,5.72,92.78,banana
89,91,55,25.08,80.26,6.28,94.33,banana
89,85,55,26.67,76.49,6.28,91.73,banana
118,88,51,25.45,79.49,6.2,100.66,banana
101,92,45,28.23,80.64,5.76,98.0,banana
99,92,47,28.13,77.48,6.32,103.5,banana
82,77,46,28.95,82.19,5.9,95.83,banana
90,86,55,27.96,84.15,5.64,97.56,banana
95,88,52,28.0,78.9,6.24,94.68,banana
104,73,46,29.14,80.12,6.28,90.45,banana
102,73,52,27.91,83.36,6.36,90.24,banana
100,74,52,25.43,81.54,5.84,96.48,banana
94,89,48,28.56,84.52,5.65,111.08,banana
99,70,46,26.6,83.0,5.73,100.51,banana
112,87,48,27.2,77.4,6.2,99.47,banana
117,82,45,25.29,79.29,5.61,105.42,banana
96,86,51,29.91,76.99,6.26,92.0,banana
113,85,45,27.95,76.64,6.04,109.09,banana
105,93,46,25.01,78.76,5.76,108.37,banana
85,89,51,29.21,84.7,6.16,108.55,banana
108,94,47,27.36,84.55,6.39,90.81,banana
92,81,52,28.01,76.53,5.89,103.7,banana
110,71,54,28.67,82.21,5.73,94.38,banana
82,75,55,27.35,78.49,6.28,92.16,banana
117,81,53,29.51,78.21,5.51,98.13,banana
2,40,27,29.74,47.55,5.95,90.1,mango
39,24,31,33.56,53.73,4.76,98.68,mango
21,26,27,27.0,47.68,5.7,95.85,mango
25,22,25,33.56,45.54,5.98,95.71,mango
0,21,32,35.9,54.26,6.43,92.2,mango
20,19,35,34.18,50.62,6.11,98.01,mango
19,21,34,30.02,53.19,5.07,97.73,mango
18,17,31,31.75,45.16,5.67,93.75,mango
11,36,33,35.99,52.23,5.98,95.37,mango
30,28,30,31.87,52.19,5.06,98.47,mango
18,19,27,27.76,52.35,4.77,94.11,mango
23,23,27,34.72,51.43,5.16,97.31,mango
37,30,34,27.54,53.64,6.8,99.35,mango
11,27,30,27.7,48.56,6.39,89.86,mango
12,19,31,27.25,52.66,5.57,91.87,mango
3,28,33,30.34,48.89,5.76,94.43,mango
37,38,32,31.86,45.53,5.42,91.56,mango
26,37,30,35.4,49.46,6.17,97.41,mango
14,18,30,29.81,52.14,5.19,95.75,mango
40,16,35,34.16,54.16,4.95,98.33,mango
4,20,25,28.93,47.94,5.66,99.98,mango
36,25,33,27.98,53.33,5.55,99.61,mango
30,17,31,31.2,54.5,6.8,94.63,mango
28,37,28,32.13,50.53,6.1,98.63,mango
38,15,30,28.92,48.14,5.08,97.01,mango
12,37,30,31.1,47.41,4.55,90.29,mango
38,19,31,34.74,49.09,5.86,90.65,mango
8,33,29,29.98,49.49,6.44,91.82,mango
15,27,28,33.8,46.13,4.51,90.83,mango
34,16,25,30.07,50.96,6.11,92.1,mango
11,36,31,27.92,51.78,6.48,100.26,mango
33,29,34,31.41,49.22,6.83,93.0,mango
12,31,26,35.79,51.94,5.4,100.22,mango
12,34,28,33.36,45.02,6.14,98.82,mango
5,16,31,35.96,48.7,4.56,98.01,mango
1,30,29,28.33,51.4,6.43,91.67,mango
16,35,31,32.28,50.19,5.32,95.99,mango
35,18,26,31.99,50.85,5.28,97.39,mango
4,40,26,27.58,48.57,6.72,95.84,mango
9,29,34,29.38,45.89,5.73,100.81,mango
2,38,33,32.39,53.23,4.69,90.22,mango
26,32,32,30.91,49.93,6.81,90.14,mango
34,38,31,35.38,45.58,6.45,97.42,mango
5,32,33,32.32,52.59,5.84,93.37,mango
31,29,26,28.22,47.41,5.02,97.77,mango
34,34,35,27.27,47.17,6.42,95.26,mango
